URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://openhie.org/fhir/zambia-immunizations/ValueSet/vs-administrative-sex,1.0.0,active,,AdministrativeSex,Administrative Sex,"A List of Administrative Sex codes.","StructureDefinition/administrative-sex","THO (V2)"
http://openhie.org/fhir/zambia-immunizations/ValueSet/vs-home-language,1.0.0,active,,VSHomeLanguage,Patient's Home Language,"A list of languages.","StructureDefinition/patient-home-language","Internal"
http://openhie.org/fhir/zambia-immunizations/ValueSet/vs-loinc-education-level-attained,1.0.0,active,,VSLOINCEducationLevelAttained,Patient's highest education level attained (LOINC),"A list of LOINC education levels.",,"LOINC"
http://openhie.org/fhir/zambia-immunizations/ValueSet/vs-proprietary-education-level-attained,1.0.0,active,,VSProprietaryEducationLevelAttained,Patient's highest education level attained (Proprietary),"A list of proprietary education levels.","StructureDefinition/patient-educational-level","Internal"
http://openhie.org/fhir/zambia-immunizations/ValueSet/vs-spouse-relation-type,1.0.0,active,,VSSpouseRelationCodes,Spouse Relation Types,"Codes for classifying the type of spouse.","StructureDefinition/spouse-relation-to-patient","SCT"
http://openhie.org/fhir/zambia-immunizations/ValueSet/vs-vaccines,1.0.0,active,,VSVaccines,Vaccine Codes,"A List of Vaccine Codes Use In Zambia","StructureDefinition/Vaccines","LOINC,Other"
http://phinvads.cdc.gov/fhir/ValueSet/2.16.840.1.114222.4.11.7901,1,active,,PHVS_Occupation_CDC_ONET-SOC2010_ODH,Occupation CDC ONET-SOC 2010 (ODH),"The Occupation CDC O*NET-SOC 2010 (ODH) value set is to be used to capture self-reported occupation within electronic health information systems to support direct patient care, population health and public health activities.  Occupation is the type of work done by the subject.  It is based on the 2010 O*Net-SOC Classification System.  For more information, a mapping to 2010 Census Codes, and tips on using this value set go to the Occupational Data for Health (ODH) Hot Topics section on the PHIN VADS home page.","StructureDefinition/spouse-occupation,StructureDefinition/guardian-occupation","Other"
